date_mesure,geocode_region,libelle_region,carburant,valeur
2021-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Gaz et ND,5373.0
2021-01-01T00:00:00.000,76,Occitanie,Electrique et hydrogène,14721.0
2019-01-01T00:00:00.000,53,Bretagne,Diesel - thermique,29237.0
2021-01-01T00:00:00.000,01,Guadeloupe,Gaz et ND,5.0
2022-01-01T00:00:00.000,01,Guadeloupe,Essence - thermique,8935.0
2019-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - thermique,108983.0
2021-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - thermique,11994.0
2020-01-01T00:00:00.000,03,Guyane,Diesel - hybride NR,142.0
2020-01-01T00:00:00.000,76,Occitanie,Hybride rechargeable,5743.0
2021-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Diesel - thermique,30268.0
2019-01-01T00:00:00.000,76,Occitanie,Diesel - thermique,56763.0
2024-01-01T00:00:00.000,01,Guadeloupe,Hybride rechargeable,541.0
2022-01-01T00:00:00.000,06,Mayotte,Diesel - hybride NR,39.0
2021-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Electrique et hydrogène,5681.0
2021-01-01T00:00:00.000,02,Martinique,Essence - thermique,9044.0
2023-01-01T00:00:00.000,76,Occitanie,Essence - hybride NR,32052.0
2022-01-01T00:00:00.000,01,Guadeloupe,Electrique et hydrogène,699.0
2023-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - hybride NR,876.0
2024-01-01T00:00:00.000,24,Centre-Val de Loire,Gaz et ND,1821.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Hybride rechargeable,14541.0
2019-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Gaz et ND,127.0
2021-01-01T00:00:00.000,02,Martinique,Diesel - hybride NR,228.0
2022-01-01T00:00:00.000,53,Bretagne,Gaz et ND,2189.0
2019-01-01T00:00:00.000,03,Guyane,Diesel - thermique,1870.0
2020-01-01T00:00:00.000,94,Corse,Electrique et hydrogène,1144.0
2023-01-01T00:00:00.000,28,Normandie,Essence - thermique,53521.0
2024-01-01T00:00:00.000,76,Occitanie,Hybride rechargeable,10575.0
2021-01-01T00:00:00.000,94,Corse,Essence - hybride NR,2385.0
2022-01-01T00:00:00.000,02,Martinique,Diesel - hybride NR,103.0
2021-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,4602.0
2020-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - thermique,17590.0
2022-01-01T00:00:00.000,44,Grand Est,Essence - hybride NR,21369.0
2024-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Electrique et hydrogène,10036.0
2022-01-01T00:00:00.000,28,Normandie,Electrique et hydrogène,11533.0
2019-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Diesel - thermique,47270.0
2022-01-01T00:00:00.000,28,Normandie,Gaz et ND,2759.0
2020-01-01T00:00:00.000,11,Île-de-France,Essence - hybride NR,32298.0
2022-01-01T00:00:00.000,11,Île-de-France,Hybride rechargeable,35710.0
2021-01-01T00:00:00.000,02,Martinique,Hybride rechargeable,400.0
2022-01-01T00:00:00.000,76,Occitanie,Diesel - hybride NR,1713.0
2023-01-01T00:00:00.000,02,Martinique,Essence - hybride NR,2294.0
2019-01-01T00:00:00.000,03,Guyane,Electrique et hydrogène,20.0
2019-01-01T00:00:00.000,24,Centre-Val de Loire,Essence - thermique,41018.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Diesel - thermique,31651.0
2020-01-01T00:00:00.000,53,Bretagne,Diesel - thermique,21854.0
